Date,AAPL,GOOG,MSFT,AMZN,TSLA
2010-06-29,7.7090744972229,11.26075553894043,17.675092697143555,5.430500030517578,1.5926669836044312
2010-06-30,7.569443702697754,11.02996826171875,17.447616577148438,5.4629998207092285,1.5886670351028442
2010-07-01,7.47765588760376,10.89461898803711,17.561349868774414,5.547999858856201,1.4639999866485596
2010-07-02,7.431313991546631,10.821739196777344,17.64476776123047,5.456999778747559,1.2799999713897705
2010-07-06,7.48217248916626,10.809839248657227,18.06180763244629,5.502999782562256,1.0740000009536743
2010-07-07,7.784311771392822,11.160111427307129,18.425764083862305,5.671500205993652,1.053333044052124
2010-07-08,7.766854286193848,11.317770957946777,18.50918197631836,5.810999870300293,1.1640000343322754
2010-07-09,7.812901020050049,11.588717460632324,18.403018951416016,5.86299991607666,1.159999966621399
2010-07-12,7.742781162261963,11.795458793640137,18.827648162841797,5.975500106811523,1.136667013168335
2010-07-13,7.577567100524902,12.12689208984375,19.055130004882812,6.182499885559082,1.2093329429626465
2010-07-14,7.605550765991211,12.179940223693848,19.290189743041992,6.164999961853027,1.3226670026779175
2010-07-15,7.567035675048828,12.246376037597656,19.34326934814453,6.103000164031982,1.3259999752044678
2010-07-16,7.520389556884766,11.393379211425781,18.873144149780273,5.924499988555908,1.3760000467300415
2010-07-19,7.390384674072266,11.556242942810059,19.13095474243164,5.997000217437744,1.4606670141220093
2010-07-20,7.580275535583496,11.93824577331543,19.320518493652344,6.005000114440918,1.3533329963684082
2010-07-21,7.65099573135376,11.836857795715332,19.047548294067383,5.871500015258789,1.3480000495910645
2010-07-22,7.794846057891846,12.018068313598633,19.593494415283203,6.003499984741211,1.399999976158142
2010-07-23,7.822528839111328,12.148210525512695,19.57074546813965,5.94350004196167,1.4193329811096191
2010-07-26,7.802668571472168,12.121191024780273,19.790645599365234,5.920000076293945,1.3966670036315918
2010-07-27,7.947118759155273,12.211918830871582,19.83613395690918,5.856500148773193,1.3700000047683716
2010-07-28,7.853222846984863,12.006662368774414,19.676904678344727,5.856500148773193,1.3813329935073853
2010-07-29,7.767456531524658,12.022526741027832,19.737573623657227,5.8429999351501465,1.3566670417785645
2010-07-30,7.741578102111816,12.019058227539062,19.57074546813965,5.894499778747559,1.329332947731018
2010-08-02,7.880007743835449,12.156886100769043,19.965045928955078,6.003499984741211,1.3946670293807983
2010-08-03,7.882420063018799,12.142507553100586,19.83613395690918,6.120999813079834,1.463333010673523
2010-08-04,7.914013862609863,12.55128288269043,19.510087966918945,6.379000186920166,1.4173330068588257
2010-08-05,7.875494480133057,12.595407485961914,19.23711395263672,6.391499996185303,1.363332986831665
2010-08-06,7.827042102813721,12.400069236755371,19.373600006103516,6.415999889373779,1.305999994277954
2010-08-09,7.876997470855713,12.527236938476562,19.41908836364746,6.441500186920166,1.3066669702529907
2010-08-10,7.806581020355225,12.486583709716797,19.009634017944336,6.5,1.2686669826507568
2010-08-11,7.529118061065674,12.18985652923584,18.850399017333984,6.29449987411499,1.1933330297470093
2010-08-12,7.577268123626709,12.196549415588379,18.569835662841797,6.328000068664551,1.1733330488204956
2010-08-13,7.496317386627197,12.056241989135742,18.50160026550293,6.234499931335449,1.2213330268859863
2010-08-16,7.45237922668457,12.037403106689453,18.577423095703125,6.303500175476074,1.2519999742507935
2010-08-17,7.582683086395264,12.159613609313965,18.836605072021484,6.442999839782715,1.2766669988632202
2010-08-18,7.615786552429199,11.952126502990723,18.92046546936035,6.482500076293945,1.2513329982757568
2010-08-19,7.5197882652282715,11.600616455078125,18.630783081054688,6.378499984741211,1.25266695022583
2010-08-20,7.512566089630127,11.453120231628418,18.4707088470459,6.388000011444092,1.273332953453064
2010-08-23,7.397006988525391,11.503938674926758,18.50881004333496,6.329999923706055,1.3420000076293945
2010-08-24,7.220357418060303,11.189611434936523,18.32585906982422,6.226500034332275,1.2799999713897705
2010-08-25,7.309433460235596,11.26968002319336,18.371599197387695,6.34250020980835,1.3266669511795044
2010-08-26,7.230890274047852,11.179447174072266,18.158161163330078,6.243000030517578,1.3166669607162476
2010-08-27,7.271215438842773,11.374042510986328,18.242008209228516,6.331999778747559,1.3133330345153809
2010-08-30,7.297696113586426,11.221837043762207,18.020933151245117,6.189499855041504,1.324666976928711
2010-08-31,7.315752983093262,11.15565013885498,17.89134979248047,6.241499900817871,1.2986669540405273
2010-09-01,7.533329486846924,11.411226272583008,18.219141006469727,6.624499797821045,1.363332986831665
2010-09-02,7.588699817657471,11.481874465942383,18.24962615966797,6.760499954223633,1.4040000438690186
2010-09-03,7.7873215675354,11.658376693725586,18.51643943786621,6.939499855041504,1.4033329486846924
2010-09-07,7.758428573608398,11.512117385864258,18.264873504638672,6.861000061035156,1.369333028793335
2010-09-08,7.912209510803223,11.665315628051758,18.242008209228516,6.956999778747559,1.3933329582214355
2010-09-09,7.91672420501709,11.804137229919434,18.302997589111328,7.019000053405762,1.380666971206665
2010-09-10,7.92695426940918,11.803143501281738,18.1810245513916,7.122000217437744,1.3446669578552246
2010-09-13,8.036195755004883,11.955102920532227,19.14153289794922,7.253499984741211,1.3813329935073853
2010-09-14,8.06689167022705,11.909490585327148,19.080551147460938,7.287499904632568,1.4079999923706055
2010-09-15,8.131890296936035,11.914695739746094,19.149152755737305,7.272500038146973,1.4653329849243164
2010-09-16,8.322986602783203,11.925107955932617,19.30923080444336,7.406499862670898,1.3960000276565552
2010-09-17,8.286876678466797,12.150440216064453,19.225385665893555,7.415999889373779,1.348667025566101
2010-09-20,8.523409843444824,12.599869728088379,19.385467529296875,7.565000057220459,1.4040000438690186
